"Translation ID";"Description";"fi-FI";"eu-ES";"hr-HR";"th-TH";"nl-NL";"ru-RU";"es-ES";"ro-RO";"pt-PT";"sl-SI";"et-EE";"de-DE";"pt-BR";"hy-AM";"nb-NO";"gl-ES";"fa-IR";"cs-CZ";"id-ID";"ta-IN";"en-US";"el-GR";"ja-JP";"sr-Latn-RS";"hi-IN";"ca-ES";"zh-CN";"sk-SK";"hu-HU";"ko-KR";"ar-AE";"he-IL";"tr-TR";"sv-SE";"uk-UA";"ga-IE";"fr-FR";"bn-IN";"pl-PL";"lt-LT";"vi-VN";"it-IT"
"addNewFriend";"";"Lisää uusi ystävä";"Gehitu lagun berria";"Dodaj novog prijatelja";"";"Nieuwe vriend toevoegen";"Добавить нового друга";"Agregar nuevo amigo";"";"";"Dodaj novega prijatelja";"Lisa uus sõber";"Neue:n Freund:in hinzufügen";"Adicionar novo(a) amigo(a)";"";"Legg til en ny venn";"Engadir nova amizade";"دوست جدید اضافه کن";"Přidat nového přítele";"Tambah teman baru";"";"Add new friend";"";"友達を追加";"Додај новог пријатеља";"";"Afegeix una amistat";"添加新的好友";"Pridať nového priateľa";"Új barát hozzáadása";"새 친구 추가";"أضف صديقًا جديدًا";"הוסף חבר חדש";"Yeni arkadaş ekle";"Lägg till ny vän";"Додати нового друга";"Cuir cara nua";"Ajouter un·e nouvel·le ami·e";"";"Dodaj nowego przyjaciela";"Pridėti naują draugą";"";"Aggiungi un nuovo amico"
"addToBundle";"";"Lisää kääreeseen";"Gehitu sortara";"Dodaj u paket";"";"Aan bundel toevoegen";"Добавить в пакет";"Agregar al paquete";"Adăugați în pachet";"";"";"Lisa köitesse";"Zu einem Bundle hinzufügen";"Adicionar à coleção";"";"";"Engadir ao feixe";"به بسته نرم‌افزاری اضافه کنید";"Přidat do balíčku";"Tambah ke bundel";"";"Add to bundle";"";"バンドルに追加";"";"";"";"添加到集合中";"";"";"번들에 추가";"أضفه الى حزمة";"הוסף לחבילה";"Pakete ekle";"Utöka paket";"Додати до вузлів";"";"Ajouter au groupe";"";"Dodaj do pakietu";"Pridėti prie paketų";"";""
"addToSpace";"";"Lisää avaruuteen";"Gehitu gunera";"Dodaj u prostor";"";"Aan space toevoegen";"Добавить в пространство";"Agregar al espacio";"Adăugați la spațiu";"";"Dodajte v prostor";"Lisa kogukonda";"Zum Space hinzufügen";"Adicionar ao espaço";"";"Legg til space";"Engadir ao espazo";"به اسپاش اضافه کن";"Přidat do prostoru";"Tambah ke space";"";"Add to space";"";"スペースに追加";"";"";"Afegeix a un espai";"加入空间";"Pridať do priestoru";"Hozzáadás térhez";"스페이스에 추가";"أضفه لفضاء";"הוסף לספייס";"Alana ekle";"Lägg till i utrymme";"Додати простір";"Cuir go spás";"Ajouter à l'espace";"";"Dodaj do przestrzeni";"Pridėti į erdvę";"";"Aggiungi a uno spazio"
"addToSpaceDescription";"";"Valitse avaruus, jonne tämä keskustelu lisätään.";"Aukeratu gune bat txat hau gehitzeko.";"Odaberi prostor za dodavanje ovog chata.";"";"Selecteer een space om deze chat aan toe te voegen.";"Выберите пространство, чтобы добавить к нему этот чат.";"Elige un espacio para añadir este chat a el.";"Alegeți un spațiu în care să adăugați acest chat.";"";"";"Vali kogukond, kuhu soovid seda vestlust lisada.";"Wähle einen Space aus, um diesen Chat hinzuzufügen.";"Selecione um espaço para adicionar esta conversa.";"";"";"Elixe un espazo ao que engadir este chat.";"فضایی برای افزودن این گپ به آن انتخاب کنید.";"Vyberte umístění, do kterého chcete tento chat přidat.";"Pilih sebuah space untuk menambahkan chat ke spacenya.";"";"Select a space to add this chat to it.";"";"このチャットを追加するスペースを選択してください。";"";"";"";"选择一个空间以添加此聊天。";"";"";"이 채팅을 추가할 스페이스를 선택하세요.";"إختر فضاء لإضافة هذه المحادثة إليه.";"";"Bu sohbeti eklemek için bir alan seçin.";"Välj ett utrymme som chatten skall läggas till i.";"Виберіть простір, щоб додати до нього цей чат.";"";"Sélectionnez un espace pour y ajouter cette discussion.";"";"Wybierz przestrzeń, do której ten czat ma być dodany.";"Pasirinkite erdvę, kad prie jos pridėtumėte šį pokalbį.";"";""
"addToStory";"";"Lisää tarinaan";"Gehitu storyra";"Dodaj priči";"";"Toevoegen aan verhaal";"Добавить в историю";"";"Adăugați la story";"";"";"Lisa jutustusele";"Story hinzufügen";"Adicionar ao painel";"";"";"Engadir a historia";"افزودن به استوری";"Přidat do příběhu";"Tambahkan ke cerita";"";"Add to story";"";"ストーリーに追加";"";"";"";"添加到 Story";"";"";"스토리에 추가";"إضافة للقصة";"";"Hikayeye ekle";"Addera till berättelse";"Додати до історії";"";"Ajouter à la story";"";"Dodaj do relacji";"Pridėti prie istorijos";"";""
"addWidget";"";"Lisää pienoissovellus";"Gehitu widgeta";"Dodaj widget";"";"Widget toevoegen";"Добавить виджет";"";"Adăugați widget";"";"";"Lisa vidin";"Widget hinzufügen";"Adicionar ferramenta";"";"";"Engadir widget";"افزودن ویجت";"Přidat widget";"Tambahkan widget";"";"Add widget";"";"ウィジェットを追加";"";"";"";"添加小部件";"";"";"";"إضافة اداة";"";"Widget ekle";"Lägg till widget";"Додати віджет";"";"Ajouter un widget";"";"Dodaj widżet";"Pridėti programėlę";"";""
"admin";"";"Ylläpitäjä";"Administratzailea";"Administrator";"";"Beheerder";"Администратор";"Administrador";"Administrator";"Admin";"Admin";"Peakasutaja";"Admin";"Admin";"Համակարգող";"Administrator";"Admin";"ادمین";"Správce";"Admin";"";"Admin";"";"管理者";"Админ";"";"Administració";"管理员";"Administrátor";"Admin";"관리자";"المدير";"מנהל";"Yönetici";"Admin";"Адміністратор";"Riarthóir";"Administrateur";"";"Admin";"Administratorius";"Quản trị viên";"Amministratore"
"advanced";"";"Edistyneet";"Aurreratua";"Napredno";"";"Geavanceerd";"Продвинутое";"";"";"";"";"Lisaseadistused";"Fortschrittlich";"Avançado";"";"";"Avanzado";"";"";"Tingkat lanjut";"";"Advanced";"";"";"";"";"";"高级";"";"Haladó";"";"";"";"Gelişmiş";"";"Додатково";"";"Avancé";"";"";"Išplėstiniai";"";""
"alias";"";"alias";"ezizena";"pseudonim";"";"alias";"псевдоним";"alias";"poreclă";"";"vzdevek";"alias";"Alias";"cognome";"կեղծանուն";"alias";"alias";"نام مستعار";"alias";"alias";"";"alias";"";"エイリアス";"алијас";"";"àlies";"别名";"alias";"álnév";"별명";"اللقب";"כינוי";"takma ad";"alias";"псевдонім";"ailias";"adresse";"";"alias";"slapyvardis";"bí danh";"alias"
"all";"";"Kaikki";"Guztia";"Svi";"";"Alle";"Все";"Todo";"Toate";"";"Vse";"Kõik";"Alle";"Todas";"";"Alle";"Todos";"همه";"Vše";"Semua";"";"All";"";"すべて";"Сви";"";"Tot";"全部";"Všetky";"Összes";"모두";"الكل";"הכל";"Tümü";"Alla";"Усі";"Gach";"Tout";"";"Wszystkie";"Visi";"";"Tutto"
"allChats";"";"Kaikki keskustelut";"Txat guztiak";"Svi chatovi";"";"Alle chats";"Все чаты";"Todos los chats";"Toate Chaturile";"";"Vsi klepeti";"Kõik vestlused";"Alle Chats";"Todas conversas";"";"Alle samtaler";"Tódolos chats";"همه اتاقها";"Všechny chaty";"Semua obrolan";"";"All chats";"";"すべて会話";"";"";"Tots els xats";"所有会话";"Všetky chaty";"Összes csevegés";"모든 채팅";"كل المحادثات";"כל הצ'אטים";"Tüm sohbetler";"Alla chattar";"Усі чати";"Gach comhrá";"Toutes les discussions";"";"Wszystkich przestrzeń";"Visi pokalbiai";"";"Tutte le chat"
"allRooms";"";"Kaikki ryhmäkeskustelut";"Talde-txat guztiak";"Svi grupni razgovori";"";"";"Все группы";"";"Toate chaturi de grup";"";"";"Kõik vestlusrühmad";"";"";"";"";"Todas as Conversas en grupo";"تمام چت‌های گروهی";"";"Semua Percakapan Grup";"";"All Group Chats";"";"";"";"";"";"";"";"";"";"جميع الدردشات الجماعية";"";"Tüm Grup Sohbetleri";"";"Усі групові бесіди";"";"";"";"";"";"";""
"allSpaces";"";"Kaikki tilat";"Gune guztiak";"Svi prostori";"";"Alle spaces";"Все пространства";"Todos los espacios";"Toate spațiile";"";"";"Kõik kogukonnad";"Alle Räume";"Todos espaços";"";"";"Tódolos espazos";"همہ اسپیسها";"";"Semua space";"";"All spaces";"";"すべてのスペース";"";"";"";"所有空间";"";"";"";"كل المساحات";"";"Tüm alanlar";"Alla utrymmen";"Усі простори";"";"Tous les espaces";"";"Wszystkie przestrzenie";"Visos erdvės";"";""
"allSuggestedRoomsJoined";"";"Olet liittynyt kaikkiin ehdotettuihin huoneisiin";"Gomendatutako gela guztietara sartu zara";"Prihvatio/la si sve predložene sobe";"";"Je bent toegetreden in alle voorgestelde kamers";"Вы присоединились ко всем предложенным комнатам";"";"";"";"";"Sa liitusid kõikide soovitatud jututubadega";"Du bist allen vorgeschlagenen Chatrooms beigetreten";"Você entrou em todas conversas sugeridas";"";"";"Unícheste a tódalas salas suxeridas";"همہ اتاقهای پیشنھادی را پیوستید";"";"Kamu bergabung semua ruangan yang disarankan";"";"You joined all suggested rooms";"";"";"";"";"";"你加入了所有推荐的聊天室";"";"";"";"";"";"Önerilen tüm odalara katıldınız";"";"Ви приєдналися до всіх запропонованих кімнат";"";"Vous avez rejoint toutes les salles suggérées";"";"";"Prisijungėte prie visų siūlomų kambarių";"";""
"alreadyHaveAnAccount";"";"Onko sinulla jo tunnus?";"Baduzu kontu bat?";"Već imaš račun?";"";"Heb je al een account?";"Уже есть учётная запись?";"¿Ya tienes una cuenta?";"Ai deja un cont?";"";"Že imate račun?";"Sul juba on kasutajakonto olemas?";"Hast du schon ein Konto?";"Você já possui uma conta?";"Արդեն հաշի՞վ ունեք";"Har du allerede en konto?";"Xa tes unha conta?";"قبلاً حساب دارید؟";"Máte již účet?";"Sudah memiliki akun?";"";"Already have an account?";"";"アカウントをすでにお持ちですか？";"Већ имате налог?";"";"Ja teniu un compte?";"已经有账户了？";"Máte už účet?";"Van már fiókod?";"이미 계정이 있나요?";"عندك حساب؟";"כבר יש לך חשבון?";"Hesabınız var mı?";"Har du redan ett konto?";"Уже маєте обліковий запис?";"An bhfuil cuntas agat cheana féin?";"Vous avez déjà un compte ?";"";"Masz już konto?";"Ar jau turite vartotojo paskyrą?";"Bạn đã có tài khoản?";"Hai già un account?"
"answeredTheCall";"";"{senderName} vastasi puheluun";"{senderName}-(e)k deia erantzun du";"{senderName} je odgovorio/la na poziv";"";"{senderName} heeft de oproep beantwoord";"{senderName} ответил(а) на звонок";"{senderName} respondió a la llamada";"{sendername} a acceptat apelul";"";"Oseba {senderName} je odgovorila na klic";"{senderName} vastas kõnele";"{senderName} hat den Anruf angenommen";"{senderName} atendeu à chamada";"";"{senderName} besvarte anropet";"{senderName} respondeu á chamada";"{senderName} زنگ زدن را جواب کرد";"{senderName} odpověděl na hovor";"{senderName} menjawab panggilan";"";"{senderName} answered the call";"";"{senderName}は通話に出ました";"{senderName} одговори на позив";"";"{senderName} ha respost a la trucada";"已开始与 {senderName} 通话";"{senderName} prevzal hovor";"{senderName} megválaszolta a hívást";"{senderName} 가 전화에 응답했습니다";"{senderName} أجاب على المكالمة";"{senderName} ענה לשיחה";"{senderName} aramayı yanıtladı";"{senderName} besvarade samtalet";"{senderName} відповідає на виклик";"D'fhreagair {senderName} an glao";"{senderName} a répondu à l'appel";"";"{senderName} odebrał połączenie";"{senderName} atsiliepė į skambutį";"{senderName} đã trả lời cuộc gọi";"{senderName} ha risposto alla chiamata"
"anyoneCanJoin";"";"Kuka tahansa voi liittyä";"Edonor batu daiteke";"Svatko se može pridružiti";"";"Iedereen kan deelnemen";"Каждый может присоединиться";"Cualquiera puede unirse";"Oricine se poate alătura";"";"Pridruži se lahko vsak";"Kõik võivad liituda";"Jeder darf beitreten";"Qualquer pessoa pode participar";"Յուրաքանչյուրը կարող է միանալ";"Hvem som helst kan delta";"Calquera pode unirse";"هرکسی میتواند بپیوندد";"Kdokoliv se může připojit";"Siapa saja dapat bergabung";"";"Anyone can join";"";"誰でも参加できる";"свако може да се придружи";"";"Qualsevol pot unir-se";"任何人都可以加入";"Ktokoľvek sa môže pripojiť";"Bárki csatlakozhat";"누구나 들어올 수 있음";"يمكن لأي أحد الدخول";"כל אחד יכול להצטרף";"Herkes katılabilir";"Vem som helst kan gå med";"Будь-хто може приєднатись";"Is féidir le aon duine dul isteach";"Tout le monde peut rejoindre";"";"Każdy może dołączyć";"Bet kas gali prisijungti";"Mọi người đều có thể gia nhập";"Tutti possono partecipare"
"appLock";"";"Sovelluksen lukitus";"Aplikazioaren blokeoa";"Zaključavanje programa";"";"App-vergrendeling";"Блокировка приложения";"Bloqueo de aplicación";"Lacăt aplicație";"";"Zaklepanje aplikacije";"Rakenduse lukustus";"Anwendungssperre";"Trava do aplicativo";"";"Programlås";"Bloqueo da app";"قفل برنامه";"Zámek aplikace";"Kunci aplikasi";"";"App lock";"";"アプリのロック";"Закључавање апликације";"";"Blocatge de l’aplicació";"应用锁";"Uzamknutie aplikácie";"Alkalmazászár";"앱 잠금";"قفل التطبيق";"נעילת אפליקציה";"Uygulama kilidi";"App-lås";"Блокування застосунку";"Bac aip";"Verrouillage de l’application";"";"Blokada aplikacji";"Programos užraktas";"";"Blocco dell'app"
"appearOnTop";"";"Näy päällä";"Gainean erakutsi";"Prikaz ispred drugih";"";"Bovenaan verschijnen";"Появляться сверху";"";"Apare deasupra";"";"";"Luba pealmise rakendusena";"Oben erscheinen";"Aparecer no topo";"";"";"Aparecer arriba";"در بالا ظاهر شود";"";"Tampilkan di atas";"";"Appear on top";"";"";"";"";"";"显示在其他应用上方";"";"";"";"يظهر في الأعلى";"";"Üstte görün";"Visa ovanpå";"З'являтися зверху";"";"Apparaître en haut";"";"Wyświetlaj nad innymi";"Rodyti viršuje";"";""
"appearOnTopDetails";"";"Sallii sovelluksen näkyä muiden sovellusten päällä (tätä ei tarvita, mikäli olet jo määrittänyt REChain 🪐 puhelin-tunnukseksi)";"Aplikazioa goikaldean agertzea baimentzen du (ez da beharrezkoa REChain 🪐 dei egiteko kontua bezala ezarri baduzu)";"Omogućuje prikaz aplikacije ispred drugih (nije potrebno ako je REChain 🪐 već postavljen kao račun za pozivanje)";"";"Laat de app bovenaan verschijnen (niet nodig als je REChain 🪐 al hebt ingesteld als een belaccount)";"Позволяет приложению отображаться сверху (не требуется, если у вас уже настроен REChain 🪐 как аккаунт для звонков)";"";"Permite aplicația să apare deasupra (nu este necesar dacă aveți REChain 🪐 stabilit ca cont de apeluri)";"";"";"Sellega lubad rakendust avada kõige pealmisena (pole vajalik, kui REChain 🪐 on juba seadistatud toimima helistamiskontoga)";"Ermöglicht, dass die App oben angezeigt wird (nicht erforderlich, wenn Sie REChain 🪐 bereits als Anrufkonto eingerichtet haben)";"Permitir que o app apareça no topo (desnecessário caso REChain 🪐 já esteja configurado como conta para chamadas)";"";"";"Permítelle á app aparecer por enrriba (non é preciso se xa configuraches REChain 🪐 como unha conta para chamadas)";"به برنامه اجازه می‌دهد در بالا ظاهر شود (اگر قبلا فلافی‌‌چت را به عنوان حساب تماس تنظیم کرده‌اید، لازم نیست)";"";"Memperbolehkan aplikasi untuk ditampilkan di atas (tidak dibutuhkan jika kamu memiliki REChain 🪐 ditetapkan sebagai akun pemanggilan)";"";"Allows the app to appear on top (not needed if you already have REChain 🪐 setup as a calling account)";"";"アプリをトップに表示できるようにする（すでに通話アカウントとしてREChain 🪐を設定している場合は必要ありません）";"";"";"";"允许应用显示在顶部（如果你已经将 REChain 🪐 设置为呼叫账户，则不需要授予此权限）";"";"";"";"يسمح للتطبيق بالظهور في الأعلى (ليست هناك حاجة إذا قمت بالفعل بإعداد REChain 🪐 كحساب اتصال)";"";"Uygulamanın üstte görünmesine izin verir (REChain 🪐'ı zaten bir arama hesabı olarak ayarladıysanız gerekli değildir)";"Tillåt att appen visas ovanpå (behövs inte om du redan har REChain 🪐 konfigurerat som ett samtalskonto)";"Дозволяє застосунку показуватися зверху (не потрібно, якщо REChain 🪐 вже налаштований обліковим записом для викликів)";"";"Permet à l'application d'apparaître en haut de l'écran (non nécessaire si vous avez déjà configuré REChain 🪐 comme compte d'appel)";"";"Umożliwia wyświetlanie aplikacji nad innymi (nie jest to konieczne, jeśli REChain 🪐 jest już ustawiony jako konto do dzwonienia)";"Leidžia programėlę rodyti viršuje (nebūtina, jei jau esate nustatę REChain 🪐 kaip skambinimo paskyrą)";"";""
"archive";"";"Arkisto";"";"Arhiv";"";"Archief";"Архив";"Archivo";"Arhivă";"";"Arhiv";"Arhiiv";"Archiv";"Arquivo";"Արխիվ";"Arkiv";"Arquivo";"بایگانی";"Archivovat";"Arsip";"";"Archive";"";"アーカイブ";"Архива";"";"Arxiu";"存档";"Archivovať";"Archívum";"저장";"الأرشيف";"ארכיון";"Arşiv";"Arkiv";"Архів";"Cartlann";"Archiver";"";"Archiwum";"Archyvas";"Lưu trữ";"Archivia"
"archivedRoom";"";"Arkistoitu huone";"Artxibatutako gelak";"Arhivirana soba";"";"Gearchiveerde Kamer";"Архивированная комната";"Sala archivada";"Grup arhivat";"";"Arhivirana soba";"Arhiveeritud jututuba";"Archivierter Raum";"Sala arquivada";"Արխիվացված սենյակ";"Arkivert rom";"Sala arquivada";"اتاق بایگانی شده";"Archivovaná místnost";"Ruangan yang Diarsipkan";"";"Archived Room";"";"アーカイブされた部屋";"Архивирана соба";"";"Sala arxivada";"已存档的聊天室";"Archivovaná miestnosť";"Archivált szoba";"저장된 방";"غرفة مؤرشفة";"חדר בארכיון";"Arşivlenmiş Oda";"Arkiverat Rum";"Заархівована кімната";"Seomra cartlainne";"Salon archivé";"";"Zarchiwizowane pokoje";"Archyvuotas kambarys";"Phòng hội thảo đã lưu trữ";"Stanza archiviata"
